title,age,startYear,rating,numVotes
White Chicks,PG-13,2004,8.2,80
Grey's Anatomy,TV-14,2016,9.8,80
Prison Break,TV-14,2008,9.8,80
How I Met Your Mother,TV-PG,2014,9.4,80
Supernatural,TV-14,2016,9.5,80
Breaking Bad,TV-MA,2013,9.7,80
The Vampire Diaries,TV-14,2017,9.1,80
The Walking Dead,TV-MA,2015,9.8,80
Pretty Little Liars,TV-14,2016,9.6,80
Once Upon a Time,TV-PG,2016,9.8,80
Sherlock,TV-14,2016,9.5,80
Death Note,TV-14,2006,7.7,80
Naruto,TV-PG,2008,8.8,80
Arrow,TV-14,2015,9.6,80
Black Mirror,TV-MA,2016,8.0,80
The Originals,TV-14,2016,7.4,80
The 100,NR,2016,9.7,80
Masha and the Bear,TV-Y,2013,8.1,80
Hunter X Hunter (2011),NR,2013,5.7,80
Marvel's Luke Cage,TV-MA,2016,9.5,80
Marvel's Iron Fist,TV-MA,2017,9.8,80
Narcos,TV-MA,2016,9.4,80
The Flash,TV-PG,2016,9.8,80
The Do-Over,TV-MA,2016,8.4,80
Trollhunters,TV-Y7-FV,2016,8.3,80
Santa Clarita Diet,TV-MA,2017,8.2,80
Girlboss,TV-MA,2017,9.4,80
13 Reasons Why,TV-MA,2017,9.9,80
Sand Castle,TV-MA,2017,8.9,80
Sandy Wexler,TV-14,2017,9.2,80
The Office (U.S.),TV-14,2012,9.7,80
Grey's Anatomy,TV-14,2016,9.8,80
Prison Break,TV-14,2008,9.8,80
90210,TV-14,2013,6.2,80
Gossip Girl,TV-14,2012,9.6,80
How I Met Your Mother,TV-PG,2014,9.4,80
Supernatural,TV-14,2016,9.5,80
Breaking Bad,TV-MA,2013,9.7,80
Parks and Recreation,TV-14,2015,9.4,80
Glee,TV-PG,2015,9.2,80
The Vampire Diaries,TV-14,2017,9.1,80
Family Guy,TV-MA,2015,9.8,80
Criminal Minds,TV-14,2016,9.8,80
Friends,TV-14,2003,9.8,80
The Secret Life of the American Teenager,TV-14,2013,8.1,80
One Tree Hill,TV-14,2011,9.0,80
The Walking Dead,TV-MA,2015,9.8,80
Pretty Little Liars,TV-14,2016,9.6,80
Shameless (U.S.),TV-MA,2016,9.7,80
New Girl,TV-14,2016,9.1,80
American Horror Story,TV-MA,2016,9.0,80
Orange Is the New Black,TV-MA,2016,9.8,80
Black Mirror,TV-MA,2016,8.0,80
Bates Motel,TV-14,2016,8.3,80
The 100,NR,2016,9.7,80
Marvel's Iron Fist,TV-MA,2017,9.8,80
Grace and Frankie,TV-MA,2017,9.0,80
How to Get Away with Murder,TV-14,2016,9.5,80
The Get Down,TV-MA,2017,8.0,80
The Flash,TV-PG,2016,9.8,80
Stranger Things,TV-14,2016,9.0,80
Ingobernable,TV-MA,2017,9.6,80
Zootopia,PG,2016,9.7,80
Meet the Blacks,R,2016,7.9,80
Finding Dory,PG,2016,9.8,80
Santa Clarita Diet,TV-MA,2017,8.2,80
Sausage Party,R,2016,9.1,80
Pete's Dragon,PG,2016,9.3,80
Kevin Hart: What Now?,R,2016,9.7,80
Girlboss,TV-MA,2017,9.4,80
Sand Castle,TV-MA,2017,8.9,80
Sandy Wexler,TV-14,2017,9.2,80
Chewing Gum,TV-MA,2017,9.3,80
Cheer Squad,TV-PG,2016,6.1,80
Only for One Night,TV-MA,2016,7.8,80
The Office (U.S.),TV-14,2012,9.7,80
30 Rock,TV-14,2012,6.6,80
Mad Men,TV-14,2014,7.5,80
It's Always Sunny in Philadelphia,TV-MA,2016,9.1,80
Californication,TV-MA,2014,6.3,80
Parks and Recreation,TV-14,2015,9.4,80
Friends,TV-14,2003,9.8,80
Shameless (U.S.),TV-MA,2016,9.7,80
Portlandia,TV-14,2016,6.2,80
New Girl,TV-14,2016,9.1,80
The Client List,TV-14,2013,9.2,80
Marvel's Iron Fist,TV-MA,2017,9.8,80
Grace and Frankie,TV-MA,2017,9.0,80
Better Call Saul,TV-MA,2016,9.5,80
The Get Down,TV-MA,2017,8.0,80
Schitt's Creek,TV-14,2016,7.4,80
The Great British Baking Show,TV-PG,2016,9.4,80
Life in Pieces,TV-14,2015,6.8,80
